935.87,4.68,because it's probably it's somewhat,0,1
938.24,3.63,important to my my ego finances did I,0,1
940.55,2.79,get this killing blow well that's why,0,1
941.87,4.36,we're here champ readies his great,0,1
943.34,6.13,swords rolls of 22,0,1
946.23,6.75,for the hits a hit heck yeah come here,0,1
949.47,7.41,comes the damage does 14 manage to it,0,1
952.98,6.84,you take your great sword and you swing,0,1
956.88,6.27,it towards the Bears neck and you,0,1
959.82,5.19,straight up shop the Bears head clean,0,1
963.15,3.03,off life like a laser ever seen one of,0,1
965.01,1.44,the arrows do something like things are,0,1
966.18,2.4,there,0,1
966.45,4.11,I'm impressed I'm personally impressed a,0,1
968.58,4.41,baby arrows don't don't do so I mean I,0,1
970.56,5.07,did I mean is that what you're saying to,0,1
972.99,4.5,me right now I'm so cool in Internet out,0,1
975.63,2.97,right duo play organ if you're gonna say,0,1
977.49,2.79,is under my character role play,0,1
978.6,3.03,no I'm saying is one bit tell me what,0,1
980.28,2.43,tell me what you say I like over to you,0,1
981.63,4.17,and I say have you ever seen a bear's,0,1
982.71,4.62,head fall clean off like that you little,0,1
985.8,3.81,arrows just poke holes in it and ruin,0,1
987.33,2.91,the best hide how about this mr. bear,0,1
989.61,3.21,Slayer,0,1
990.24,5.28,I'm gonna go sit in that elk and do our,0,1
992.82,4.68,tribe what we need to do all-new is bare,0,1
995.52,2.31,bears you're the one to chop his head,0,1
997.5,2.25,off,0,1
997.83,3.99,fair enough leave man big there here you,0,1
999.75,7.08,go man friend yeah Brandon why don't you,0,1
1001.82,8.39,do this roll me a Constitution saving,0,1
1006.83,7.96,throw do you roll in you had +5 okay,0,1
1010.21,7.069,11 we're starting to feel sick ill,0,1
1014.79,5.52,you have a sore throat and your skin is,0,1
1017.279,4.641,itchy ran you can also buy belong in the,0,1
1020.31,5.91,better set in town this you can diagnose,0,1
1021.92,6.34,diagnosed I'm feeling I rolled a 15 what,0,1
1026.22,5.209,enrollment I got a good dick Brennan is,0,1
1028.26,4.74,good and anybody else,0,1
1031.429,6.25,mini pox,0,1
