start,duration,text,valence,arousal
4.37,8.979,checks the Claire's body Ashley as you,1,0
8.25,7.92,see oh yeah one one woman 15 gold Oh pay,1,0
13.349,5.251,your bill of sale on the clerics body,1,0
16.17,5.16,for your wife so the cleric has already,1,0
18.6,4.41,sold my wife to Mayor bunch Ross would,1,0
21.33,9.48,be the root of miss Hall he's pretty,1,0
23.01,9.54,clearly the root of all this evil so,1,0
30.81,4.08,here's the situation you guys you have,1,0
32.55,4.77,just busted through a tavern you have,1,0
34.89,4.56,poisoned the well so to speak everyone,1,0
37.32,4.47,has died there has been a there was a,1,0
39.45,5.039,traitor and a small carriage that you,1,0
41.79,4.53,have commandeered it seems also there's,1,0
44.489,4.531,a bunch of dead guards hanging around,1,0
46.32,4.86,you have the information that on a,1,0
49.02,5.699,ledger specifically that Brandon's wife,1,0
51.18,6.69,was taken to the mayor's house to be a,1,0
54.719,5.761,slave and you have everything on the,1,0
57.87,7.49,outskirts of the tavern at your disposal,1,0
60.48,7.38,so with that you guys must decide how,1,0
65.36,5.32,you're going to get Brendan's what back,1,0
67.86,5.16,I have to admit that even though I'm 99%,1,0
70.68,3.99,full of bloodlust on at least 1% happy,1,0
73.02,4.95,that my wife made the mayor's house cut,1,0
74.67,5.43,I mean I've always found her place she's,1,0
77.97,7.68,a classy lady I can but I guess this,1,0
80.1,7.05,just confirms it it's cool guys I'm cool,1,0
85.65,3.359,is you can talk about your wives it's,1,0
87.15,4.53,all good he's a guy let me tell you guys,1,0
89.009,4.261,little story so when I was a young druid,1,0
91.68,3.899,like I don't know what's young in Jude,1,0
93.27,4.709,years 15 years old I was like 15 Harold,1,0
95.579,3.9,druid is just a little apprentice,1,0
97.979,4.981,through as I drew back then just a,1,0
99.479,11.761,little jewelry young drew you know why,1,0
102.96,9.63,ung drew he was an Asian rap so I went,1,0
111.24,1.769,fishing this whole like but I lost my,1,0
112.59,2.18,bait,1,0
113.009,4.621,I thought officiate it but it turns out,1,0
114.77,8.139,that the my bait just got loose it also,1,0
117.63,7.739,turns out that that bait bait I was,1,0
122.909,4.771,baiting me go Louie got loose guy it's,1,0
125.369,4.761,descended done God weighed me so that,1,0
127.68,4.4,species of fish spread,1,0
130.13,4.29,and encroached and eliminated all the,1,0
132.08,3.51,other fish in that pond the only way,1,0
134.42,2.67,we're going to survive no matter who is,1,0
135.59,3.54,in this group of settlers how good they,1,0
137.09,3.84,are how innocent they are these are two,1,0
139.13,3.96,species fighting and I've seen what,1,0
140.93,4.68,happens before my druid nature skills,1,0
143.09,5.81,tells me what happens when one species,1,0
145.61,7.89,wants the resources over another I know,1,0
148.9,7.96,I know I know how you feel this is,1,0
153.5,6.54,what's happening right everybody is,1,0
156.86,5.07,hell-bent on killing everything I don't,1,0
160.04,5.4,know exactly how you feel because my,1,0
161.93,4.98,life they are dead set on wiping every,1,0
165.44,4.05,single person out but I need to find a,1,0
166.91,4.23,way to provide consequence for this well,1,0
169.49,2.88,you know what don't get about killing,1,0
171.14,2.76,innocent women and children now because,1,0
172.37,4.53,last time that made me kind of give me,1,0
